,platform,name,zscore_combined,openssf_badge_tiered_percentage,lio_timestamp,lio_url,lio_rc,lio_rank,lio_dependents_count,lio_dependent_repos_count,lio_repo_url,lio_repo_url_rc,cii_timestamp,cii_url,cii_rc,cii_created_at,cii_updated_at,cii_tiered_percentage,scorecard_v480_timestamp,scorecard_v480_score,criticality_timestamp,criticality_score,criticality_dependents_count,appendix,version
0,npm,lodash,11.499125,,2022-10-24 11:55:04.238312,https://libraries.io/api/npm/lodash,200.0,8.0,8.0,0.0,https://github.com/lodash/lodash,200.0,2022-10-24 11:55:04.939284,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/lodash/lodash,200.0,,,,2022-10-24 12:35:14.405477,4.4,2022-10-24 12:37:08.135084,0.65658,67133.0,A,
1,npm,react,6.1522565,81.0,2022-10-24 11:55:13.302040,https://libraries.io/api/npm/react,200.0,34.0,189150.0,515312.0,https://github.com/facebook/react,200.0,2022-10-24 11:55:13.951306,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/facebook/react,200.0,2016-04-21 21:00:21.671000+00:00,2018-02-19 17:08:42.814000+00:00,81.0,2022-10-24 12:35:31.117595,6.4,2022-10-24 12:37:12.214607,0.83041,103237.0,A,
2,npm,axios,4.8222847,,2022-10-24 11:55:16.374444,https://libraries.io/api/npm/axios,200.0,32.0,71535.0,274444.0,https://github.com/axios/axios,200.0,2022-10-24 11:55:17.001182,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/axios/axios,200.0,,,,2022-10-24 12:37:28.405463,8.1,2022-10-24 12:37:33.396581,0.76285,17995.0,A,
3,npm,debug,4.772869,,2022-10-24 11:55:19.465919,https://libraries.io/api/npm/debug,200.0,30.0,40913.0,980556.0,https://github.com/debug-js/debug,200.0,2022-10-24 11:55:20.095417,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/debug-js/debug,200.0,,,,2022-10-24 12:37:49.666385,5.2,2022-10-24 12:37:53.472382,0.5027,259.0,A,
4,npm,@babel/core,4.5779853,27.0,2022-10-24 11:55:22.525402,https://libraries.io/api/npm/%40babel%2Fcore,200.0,32.0,153885.0,262189.0,https://github.com/babel/babel,200.0,2022-10-24 11:55:23.252040,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/babel/babel,200.0,2017-01-26 23:47:40.775000+00:00,2017-07-01 02:31:39.019000+00:00,27.0,2022-10-24 12:38:10.927457,7.6,2022-10-24 12:38:16.545952,0.85496,95923.0,A,
5,npm,express,4.4989133,15.0,2022-10-24 11:55:25.761825,https://libraries.io/api/npm/express,200.0,31.0,80908.0,1122978.0,https://github.com/expressjs/express,200.0,2022-10-24 11:55:26.461237,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/expressjs/express,200.0,,,,2022-10-24 12:38:32.202997,5.4,2022-10-24 12:38:36.303903,0.69529,6281.0,A,
6,npm,semver,4.1115303,,2022-10-24 11:55:28.953664,https://libraries.io/api/npm/semver,200.0,31.0,32767.0,739145.0,https://github.com/npm/node-semver,200.0,2022-10-24 11:55:29.408595,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/npm/node-semver,200.0,,,,2022-10-24 12:38:53.004246,5.6,2022-10-24 12:39:00.010728,0.61224,4893.0,A,
7,npm,uuid,3.9883733,,2022-10-24 11:55:31.817539,https://libraries.io/api/npm/uuid,404.0,,,,,,,,,,,,,,,,,A,
8,npm,react-dom,3.6080952,81.0,2022-10-24 11:55:32.013005,https://libraries.io/api/npm/react-dom,200.0,4.0,1977.0,0.0,https://github.com/facebook/react,200.0,2022-10-24 11:55:13.951306,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/facebook/react,200.0,2016-04-21 21:00:21.671000+00:00,2018-02-19 17:08:42.814000+00:00,81.0,2022-10-24 12:35:31.117595,6.4,2022-10-24 12:37:12.214607,0.83041,103237.0,A,
9,npm,jquery,3.5352085,,2022-10-24 11:55:34.393546,https://libraries.io/api/npm/jquery,200.0,29.0,27330.0,276599.0,https://github.com/jquery/jquery,200.0,2022-10-24 11:55:35.098496,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/jquery/jquery,200.0,,,,2022-10-24 12:39:18.122322,7.9,2022-10-24 12:39:22.461554,0.70045,58607.0,A,
