platform,name,zscore_combined,openssf_badge_tiered_percentage,lio_timestamp,lio_url,lio_rc,lio_rank,lio_dependents_count,lio_dependent_repos_count,lio_repo_url,lio_repo_url_rc,cii_timestamp,cii_url,cii_rc,cii_created_at,cii_updated_at,cii_tiered_percentage,scorecard_v480_timestamp,scorecard_v480_score,criticality_timestamp,criticality_score,criticality_dependents_count
npm,lodash,11.4991249,Not Participating,2022-10-24T11:55:04.238312,https://libraries.io/api/npm/lodash,200,8,8,0,https://github.com/lodash/lodash,200,2022-10-24T11:55:04.939284,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/lodash/lodash,200,,,,2022-10-24T12:35:14.405477,4.4,2022-10-24T12:37:08.135084,0.65658,67133
npm,react,6.152256679,81,2022-10-24T11:55:13.302040,https://libraries.io/api/npm/react,200,34,189150,515312,https://github.com/facebook/react,200,2022-10-24T11:55:13.951306,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/facebook/react,200,2016-04-21T21:00:21.671Z,2018-02-19T17:08:42.814Z,81,2022-10-24T12:35:31.117595,6.4,2022-10-24T12:37:12.214607,0.83041,103237
npm,axios,4.822284691,Not Participating,2022-10-24T11:55:16.374444,https://libraries.io/api/npm/axios,200,32,71535,274444,https://github.com/axios/axios,200,2022-10-24T11:55:17.001182,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/axios/axios,200,,,,2022-10-24T12:37:28.405463,8.1,2022-10-24T12:37:33.396581,0.76285,17995
npm,debug,4.772869314,Not Participating,2022-10-24T11:55:19.465919,https://libraries.io/api/npm/debug,200,30,40913,980556,https://github.com/debug-js/debug,200,2022-10-24T11:55:20.095417,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/debug-js/debug,200,,,,2022-10-24T12:37:49.666385,5.2,2022-10-24T12:37:53.472382,0.5027,259
npm,@babel/core,4.577985182,27,2022-10-24T11:55:22.525402,https://libraries.io/api/npm/%40babel%2Fcore,200,32,153885,262189,https://github.com/babel/babel,200,2022-10-24T11:55:23.252040,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/babel/babel,200,2017-01-26T23:47:40.775Z,2017-07-01T02:31:39.019Z,27,2022-10-24T12:38:10.927457,7.6,2022-10-24T12:38:16.545952,0.85496,95923
npm,express,4.498913376,15,2022-10-24T11:55:25.761825,https://libraries.io/api/npm/express,200,31,80908,1122978,https://github.com/expressjs/express,200,2022-10-24T11:55:26.461237,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/expressjs/express,200,,,,2022-10-24T12:38:32.202997,5.4,2022-10-24T12:38:36.303903,0.69529,6281
npm,semver,4.111530309,Not Participating,2022-10-24T11:55:28.953664,https://libraries.io/api/npm/semver,200,31,32767,739145,https://github.com/npm/node-semver,200,2022-10-24T11:55:29.408595,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/npm/node-semver,200,,,,2022-10-24T12:38:53.004246,5.6,2022-10-24T12:39:00.010728,0.61224,4893
npm,uuid,3.988373254,Not Participating,2022-10-24T11:55:31.817539,https://libraries.io/api/npm/uuid,404,,,,,,,,,,,,,,,,
npm,react-dom,3.608095067,81,2022-10-24T11:55:32.013005,https://libraries.io/api/npm/react-dom,200,4,1977,0,https://github.com/facebook/react,200,2022-10-24T11:55:13.951306,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/facebook/react,200,2016-04-21T21:00:21.671Z,2018-02-19T17:08:42.814Z,81,2022-10-24T12:35:31.117595,6.4,2022-10-24T12:37:12.214607,0.83041,103237
npm,jquery,3.535208381,Not Participating,2022-10-24T11:55:34.393546,https://libraries.io/api/npm/jquery,200,29,27330,276599,https://github.com/jquery/jquery,200,2022-10-24T11:55:35.098496,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/jquery/jquery,200,,,,2022-10-24T12:39:18.122322,7.9,2022-10-24T12:39:22.461554,0.70045,58607
