platform,name,zscore_combined,openssf_badge_tiered_percentage,lio_timestamp,lio_url,lio_rc,lio_rank,lio_dependents_count,lio_dependent_repos_count,lio_repo_url,lio_repo_url_rc,cii_timestamp,cii_url,cii_rc,cii_created_at,cii_updated_at,cii_tiered_percentage,scorecard_v480_timestamp,scorecard_v480_score,criticality_timestamp,criticality_score,criticality_dependents_count
maven,org.slf4j:slf4j-api,10.13283993,Not Participating,2022-10-24T19:31:19.562776,https://libraries.io/api/maven/org.slf4j:slf4j-api,200,27,26983,128362,https://github.com/qos-ch/slf4j,200,2022-10-24T19:31:20.295867,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/qos-ch/slf4j,200,,,,2022-10-24T19:31:35.378129,5.7,2022-10-24T19:31:39.294587,0.64469,5791
nuget,json.net,8.309793262,Not Participating,2022-10-24T19:31:39.644884,https://libraries.io/api/nuget/json.net,200,12,11,23,https://github.com/obarlik/Json.Net,200,2022-10-24T19:31:40.276260,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/obarlik/Json.Net,200,,,,2022-10-24T19:31:44.334326,4.5,2022-10-24T19:31:49.608099,0.1997,19
maven,com.fasterxml.jackson.core:jackson-databind,7.581375794,Not Participating,2022-10-24T19:31:51.877535,https://libraries.io/api/maven/com.fasterxml.jackson.core:jackson-databind,200,27,10108,77047,https://github.com/FasterXML/jackson-databind,200,2022-10-24T19:31:52.585238,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/FasterXML/jackson-databind,200,,,,2022-10-24T19:32:51.004764,7.8,2022-10-24T19:33:07.529780,0.73456,4367
maven,com.google.guava:guava,7.533968374,Not Participating,2022-10-24T19:33:07.812630,https://libraries.io/api/maven/com.google.guava:guava,200,28,14144,73703,https://github.com/google/guava,200,2022-10-24T19:33:08.469008,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/google/guava,200,,,,2022-10-24T19:33:22.926914,6.8,2022-10-24T19:33:27.012099,0.68124,34482
maven,com.fasterxml.jackson.core:jackson-core,7.32281616,Not Participating,2022-10-24T19:33:27.247437,https://libraries.io/api/maven/com.fasterxml.jackson.core:jackson-core,200,26,5450,41831,https://github.com/FasterXML/jackson-core,200,2022-10-24T19:33:27.941687,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/FasterXML/jackson-core,200,,,,2022-10-24T19:33:45.084286,6.8,2022-10-24T19:34:01.559012,0.67001,11767
maven,org.springframework:spring-framework-bom,6.631717213,Not Participating,2022-10-24T19:34:01.827724,https://libraries.io/api/maven/org.springframework:spring-framework-bom,200,23,296,1098,https://github.com/spring-projects/spring-framework,200,2022-10-24T19:34:02.521309,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/spring-projects/spring-framework,200,,,,2022-10-24T19:34:19.710321,6.2,2022-10-24T19:34:24.365017,0.78613,16054
maven,com.fasterxml.jackson.core:jackson-annotations,4.780141596,Not Participating,2022-10-24T19:34:24.691302,https://libraries.io/api/maven/com.fasterxml.jackson.core:jackson-annotations,200,25,4856,29185,https://github.com/FasterXML/jackson-annotations,200,2022-10-24T19:34:25.461924,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/FasterXML/jackson-annotations,200,,,,2022-10-24T19:34:40.540156,7.1,2022-10-24T19:34:48.125958,0.53281,493
maven,commons-io:commons-io,4.630918552,Not Participating,2022-10-24T19:34:48.314648,https://libraries.io/api/maven/commons-io:commons-io,200,20,11566,76320,https://github.com/apache/commons-io,200,2022-10-24T19:34:48.987494,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/apache/commons-io,200,,,,2022-10-24T19:35:04.253080,7.5,2022-10-24T19:35:09.636217,0.6537,7003
maven,junit:junit,4.612757528,Not Participating,2022-10-24T19:35:09.834575,https://libraries.io/api/maven/junit:junit,200,30,54024,408330,https://github.com/junit-team/junit4,200,2022-10-24T19:35:10.560077,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/junit-team/junit4,200,,,,2022-10-24T19:35:28.222613,4.5,2022-10-24T19:35:32.331537,0.60247,21255
go,github.com/grpc/grpc-go,4.425776753,109,2022-10-24T19:35:32.642528,https://libraries.io/api/go/github.com%2Fgrpc%2Fgrpc-go,200,18,6,148,https://github.com/grpc/grpc-go,200,2022-10-24T19:35:33.311979,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/grpc/grpc-go,200,,,,2022-10-24T19:35:49.439228,7.5,2022-10-24T19:35:53.590998,0.70002,10502
