platform,name,zscore_combined,openssf_badge_tiered_percentage,lio_timestamp,lio_url,lio_rc,lio_rank,lio_dependents_count,lio_dependent_repos_count,lio_repo_url,lio_repo_url_rc,cii_timestamp,cii_url,cii_rc,cii_created_at,cii_updated_at,cii_tiered_percentage,scorecard_v480_timestamp,scorecard_v480_score,criticality_timestamp,criticality_score,criticality_dependents_count
go,github.com/aws/aws-sdk-go,11.07534176,Not Participating,2022-10-24T19:54:56.388272,https://libraries.io/api/go/github.com%2Faws%2Faws-sdk-go,200,27,8704,5100,https://github.com/aws/aws-sdk-go,200,2022-10-24T19:54:57.039061,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/aws/aws-sdk-go,200,,,,2022-10-24T19:55:22.355965,5.3,2022-10-24T19:55:45.567186,0.72108,48594
go,github.com/docker/docker,9.71416018,Not Participating,2022-10-25T06:14:55.068354,https://libraries.io/api/go/github.com%2Fdocker%2Fdocker,200,28,4392,3008,https://github.com/docker/docker,200,2022-10-25T06:14:55.760680,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/docker/docker,200,,,,2022-10-25T09:43:56.891271,6.4,2022-10-25T06:15:01.544495,0.85398,21916
go,github.com/containerd/containerd,9.526588872,107,2022-10-25T06:15:02.065456,https://libraries.io/api/go/github.com%2Fcontainerd%2Fcontainerd,200,23,2318,306,https://github.com/containerd/containerd,200,2022-10-25T06:15:02.711929,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/containerd/containerd,200,,,,2022-10-25T09:44:24.255414,6.9,2022-10-25T06:15:08.079479,0.79543,8128
go,golang.org/x/sys,4.981733224,Not Participating,2022-10-24T20:03:31.643652,https://libraries.io/api/go/golang.org%2Fx%2Fsys,200,28,47891,23812,https://cs.opensource.google/go/x/sys,200,2022-10-24T20:03:32.256491,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//cs.opensource.google/go/x/sys,200,,,,,,,,
go,github.com/grpc/grpc-go,4.911597303,109,2022-10-24T19:35:32.642528,https://libraries.io/api/go/github.com%2Fgrpc%2Fgrpc-go,200,18,6,148,https://github.com/grpc/grpc-go,200,2022-10-24T19:35:33.311979,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/grpc/grpc-go,200,,,,2022-10-24T19:35:49.439228,7.5,2022-10-24T19:35:53.590998,0.70002,10502
go,github.com/opencontainers/runc,4.772279355,81,2022-10-25T06:15:08.535987,https://libraries.io/api/go/github.com%2Fopencontainers%2Frunc,200,25,2308,1564,https://github.com/opencontainers/runc,200,2022-10-25T06:15:09.172224,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/opencontainers/runc,200,2016-12-30T18:39:27.224Z,2017-04-20T23:18:23.384Z,81,2022-10-25T09:44:51.640537,8.8,2022-10-25T06:15:14.365104,0.73823,17068
go,github.com/kubernetes/client-go,4.671033244,Not Participating,2022-10-24T19:37:14.280001,https://libraries.io/api/go/github.com%2Fkubernetes%2Fclient-go,200,14,0,0,https://github.com/Kubernetes/client-go,200,2022-10-24T19:37:14.912904,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/Kubernetes/client-go,200,,,,2022-10-24T19:37:29.230229,6.2,2022-10-24T19:37:33.491335,0.73194,10217
go,github.com/moby/buildkit,4.609040106,Not Participating,2022-10-25T06:15:14.736928,https://libraries.io/api/go/github.com%2Fmoby%2Fbuildkit,200,19,240,59,https://github.com/moby/buildkit,200,2022-10-25T06:15:15.188381,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/moby/buildkit,200,,,,2022-10-25T09:45:17.501137,6.5,2022-10-25T06:15:26.373805,0.69725,1890
maven,ch.qos.logback:logback-core,4.605239269,Not Participating,2022-10-24T20:00:58.241128,https://libraries.io/api/maven/ch.qos.logback:logback-core,200,23,2810,17513,https://github.com/qos-ch/logback,200,2022-10-24T19:40:38.733369,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/qos-ch/logback,200,,,,2022-10-24T19:40:53.362672,6.7,2022-10-24T19:40:57.503212,0.62288,859
go,golang.org/x/net,4.433040677,Not Participating,2022-10-24T19:42:41.604760,https://libraries.io/api/go/golang.org%2Fx%2Fnet,200,25,41666,22909,https://cs.opensource.google/go/x/net,200,2022-10-24T19:42:42.255036,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//cs.opensource.google/go/x/net,200,,,,,,,,
maven,com.google.j2objc:j2objc-annotations,4.091659601,Not Participating,2022-10-24T20:23:49.641535,https://libraries.io/api/maven/com.google.j2objc:j2objc-annotations,200,20,425,101,https://github.com/google/j2objc,200,2022-10-24T20:23:50.332801,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/google/j2objc,200,,,,2022-10-24T20:24:10.689344,5.2,2022-10-24T20:24:18.398530,0.56401,988
maven,org.slf4j:jul-to-slf4j,3.895806402,Not Participating,2022-10-24T20:09:45.908357,https://libraries.io/api/maven/org.slf4j:jul-to-slf4j,200,23,2118,8140,https://github.com/qos-ch/slf4j,200,2022-10-24T19:31:20.295867,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/qos-ch/slf4j,200,,,,2022-10-24T19:31:35.378129,5.7,2022-10-24T19:31:39.294587,0.64469,5791
maven,org.hamcrest:hamcrest-core,3.690724745,Not Participating,2022-10-24T20:10:48.812587,https://libraries.io/api/maven/org.hamcrest:hamcrest-core,200,22,2580,12883,https://github.com/hamcrest/JavaHamcrest,200,2022-10-24T20:10:49.456338,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/hamcrest/JavaHamcrest,200,,,,2022-10-24T20:11:05.051882,4.4,2022-10-24T20:11:17.112808,0.44975,488
maven,commons-codec:commons-codec,3.651840835,Not Participating,2022-10-24T19:37:33.681824,https://libraries.io/api/maven/commons-codec:commons-codec,200,24,6232,39892,https://github.com/apache/commons-codec,200,2022-10-24T19:37:34.299891,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/apache/commons-codec,200,,,,2022-10-24T19:37:49.353892,7.7,2022-10-24T19:37:53.440118,0.59489,6388
maven,com.fasterxml:classmate,3.636435083,Not Participating,2022-10-24T20:21:22.628359,https://libraries.io/api/maven/com.fasterxml:classmate,200,19,236,944,https://github.com/FasterXML/java-classmate,200,2022-10-24T20:21:23.340599,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/FasterXML/java-classmate,200,,,,2022-10-24T20:21:31.724833,5.3,2022-10-24T20:21:34.885413,0.35037,24
go,github.com/coreos/etcd,3.539637029,Not Participating,2022-10-25T06:15:26.813276,https://libraries.io/api/go/github.com%2Fcoreos%2Fetcd,200,27,2360,4048,https://github.com/coreos/etcd,200,2022-10-25T06:15:27.285295,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/coreos/etcd,200,,,,2022-10-25T09:45:45.886600,6.6,2022-10-25T06:15:33.789204,0.77201,5217
go,github.com/containerd/cri,3.439760112,Not Participating,2022-10-25T06:15:33.981372,https://libraries.io/api/go/github.com%2Fcontainerd%2Fcri,200,18,63,15,https://github.com/containerd/cri,200,2022-10-25T06:15:34.677278,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/containerd/cri,200,,,,2022-10-25T09:46:17.353619,4.8,2022-10-25T06:15:39.771374,0.45943,2057
maven,org.apache.logging.log4j:log4j-api,3.312390769,Not Participating,2022-10-24T20:16:36.066820,https://libraries.io/api/maven/org.apache.logging.log4j:log4j-api,200,17,3029,15358,https://github.com/apache/logging-log4j2,200,2022-10-24T20:16:36.758896,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/apache/logging-log4j2,200,,,,2022-10-24T20:16:51.247888,7.1,2022-10-24T20:17:01.345566,0.66707,640
go,github.com/grpc-ecosystem/grpc-gateway,3.131843263,Not Participating,2022-10-24T22:05:08.802412,https://libraries.io/api/go/github.com%2Fgrpc-ecosystem%2Fgrpc-gateway,200,22,4965,0,https://github.com/grpc-ecosystem/grpc-gateway,200,2022-10-24T22:05:09.546742,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/grpc-ecosystem/grpc-gateway,200,,,,2022-10-25T09:46:46.745048,6.7,2022-10-24T22:05:18.214359,0.69871,2043
go,github.com/apache/thrift,3.131792125,Not Participating,2022-10-25T06:15:41.076005,https://libraries.io/api/go/github.com%2Fapache%2Fthrift,200,20,948,0,https://github.com/Apache/thrift,200,2022-10-24T22:12:13.799788,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/apache/thrift,200,,,,2022-10-25T09:47:11.549558,7.0,2022-10-24T22:12:22.225255,0.71448,7337
maven,junit:junit,3.127415601,Not Participating,2022-10-24T19:35:09.834575,https://libraries.io/api/maven/junit:junit,200,30,54024,408330,https://github.com/junit-team/junit4,200,2022-10-24T19:35:10.560077,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/junit-team/junit4,200,,,,2022-10-24T19:35:28.222613,4.5,2022-10-24T19:35:32.331537,0.60247,21255
maven,com.google.guava:failureaccess,3.117692445,Not Participating,2022-10-24T20:35:03.008976,https://libraries.io/api/maven/com.google.guava:failureaccess,200,19,381,0,https://github.com/google/guava,200,2022-10-24T19:33:08.469008,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/google/guava,200,,,,2022-10-24T19:33:22.926914,6.8,2022-10-24T19:33:27.012099,0.68124,34482
maven,com.google.guava:listenablefuture,3.080532646,Not Participating,2022-10-24T20:35:03.203289,https://libraries.io/api/maven/com.google.guava:listenablefuture,200,18,367,0,https://github.com/google/guava,200,2022-10-24T19:33:08.469008,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/google/guava,200,,,,2022-10-24T19:33:22.926914,6.8,2022-10-24T19:33:27.012099,0.68124,34482
go,github.com/hashicorp/consul,3.045646737,Not Participating,2022-10-25T06:15:43.186294,https://libraries.io/api/go/github.com%2Fhashicorp%2Fconsul,200,24,869,1308,https://github.com/hashicorp/consul,200,2022-10-25T06:15:43.842128,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/hashicorp/consul,200,,,,2022-10-25T09:48:02.908608,6.3,2022-10-25T06:15:49.020668,0.77161,3985
maven,org.checkerframework:checker-qual,3.009881475,Not Participating,2022-10-24T20:19:26.122459,https://libraries.io/api/maven/org.checkerframework:checker-qual,200,23,321,340,https://github.com/typetools/checker-framework,200,2022-10-24T20:19:26.717906,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/typetools/checker-framework,200,,,,2022-10-24T20:19:42.664347,6.9,2022-10-24T20:19:46.819890,0.63241,3352
go,github.com/urfave/cli,2.950590042,Not Participating,2022-10-25T06:15:49.286093,https://libraries.io/api/go/github.com%2Furfave%2Fcli,200,25,3671,3070,https://github.com/urfave/cli,200,2022-10-25T06:15:49.890173,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/urfave/cli,200,,,,2022-10-25T09:48:29.527226,6.8,2022-10-25T06:15:55.039199,0.75649,10623
maven,jakarta.annotation:jakarta.annotation-api,2.932776591,Not Participating,2022-10-24T21:32:03.641653,https://libraries.io/api/maven/jakarta.annotation:jakarta.annotation-api,200,17,603,0,https://github.com/eclipse-ee4j/common-annotations-api,200,2022-10-24T21:32:04.298302,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/eclipse-ee4j/common-annotations-api,200,,,,2022-10-25T09:48:47.629612,5.8,2022-10-24T21:32:10.807924,0.2795,0
maven,org.apache.httpcomponents:httpcore,2.932311197,Not Participating,2022-10-24T19:41:20.772851,https://libraries.io/api/maven/org.apache.httpcomponents:httpcore,200,21,2425,12972,https://github.com/apache/httpcomponents-core,200,2022-10-24T19:41:21.392616,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/apache/httpcomponents-core,200,,,,2022-10-24T19:41:36.293486,7.8,2022-10-24T19:41:48.276075,0.56729,90
go,github.com/prometheus/client_golang,2.922468605,Not Participating,2022-10-24T19:46:15.257235,https://libraries.io/api/go/github.com%2Fprometheus%2Fclient_golang,200,22,13985,0,https://github.com/prometheus/client_Golang,200,2022-10-24T19:46:16.113600,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/prometheus/client_Golang,200,,,,2022-10-24T19:46:32.478671,7.3,2022-10-24T19:46:42.360403,0.68184,10925
go,github.com/microsoft/hcsshim,2.830609071,Not Participating,2022-10-25T06:15:56.476383,https://libraries.io/api/go/github.com%2Fmicrosoft%2Fhcsshim,200,18,1312,0,https://github.com/microsoft/hcsshim,200,2022-10-25T06:15:57.106529,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/microsoft/hcsshim,200,,,,2022-10-25T09:49:17.865039,6.2,2022-10-25T06:16:10.432850,0.61603,4119
maven,org.apache.commons:commons-lang3,2.785166574,Not Participating,2022-10-24T19:36:05.565693,https://libraries.io/api/maven/org.apache.commons:commons-lang3,200,19,10441,73144,https://github.com/apache/commons-lang,200,2022-10-24T19:36:06.182530,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/apache/commons-lang,200,,,,2022-10-24T19:36:50.314531,7.9,2022-10-24T19:36:57.893210,0.69104,7547
go,github.com/golang/protobuf,2.770237702,Not Participating,2022-10-24T19:56:09.698041,https://libraries.io/api/go/github.com%2Fgolang%2Fprotobuf,200,26,25929,17788,https://github.com/golang/protobuf,200,2022-10-24T19:56:10.315153,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/golang/protobuf,200,,,,2022-10-24T19:56:25.846380,5.9,2022-10-24T19:56:31.235465,0.57958,14530
go,golang.org/x/crypto,2.740492627,Not Participating,2022-10-24T19:56:08.772499,https://libraries.io/api/go/golang.org%2Fx%2Fcrypto,200,28,35839,19656,https://cs.opensource.google/go/x/crypto,200,2022-10-24T19:56:09.504682,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//cs.opensource.google/go/x/crypto,200,,,,,,,,
go,github.com/kubernetes/apimachinery,2.649509265,Not Participating,2022-10-24T19:37:56.207687,https://libraries.io/api/go/github.com%2Fkubernetes%2Fapimachinery,200,12,2,0,https://github.com/kubernetes/apimachinery,200,2022-10-24T19:37:56.842468,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/kubernetes/apimachinery,200,,,,2022-10-24T19:38:12.217139,6.4,2022-10-24T19:38:16.272667,0.66426,1909
maven,org.hdrhistogram:hdrhistogram,2.59276783,Not Participating,2022-10-24T22:03:28.587179,https://libraries.io/api/maven/org.hdrhistogram:hdrhistogram,200,22,336,657,https://github.com/HdrHistogram/HdrHistogram,200,2022-10-24T22:03:29.502064,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/HdrHistogram/HdrHistogram,200,,,,2022-10-25T09:49:42.973641,4.3,2022-10-24T22:03:38.092864,0.42202,695
go,github.com/docker/cli,2.581879338,Not Participating,2022-10-25T06:16:11.839405,https://libraries.io/api/go/github.com%2Fdocker%2Fcli,200,21,1335,0,https://github.com/docker/cli,200,2022-10-25T06:16:12.453669,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/docker/cli,200,,,,2022-10-25T09:50:07.391535,6.7,2022-10-25T06:16:23.267648,0.8038,42164
maven,commons-logging:commons-logging,2.526869514,Not Participating,2022-10-24T19:42:41.356962,https://libraries.io/api/maven/commons-logging:commons-logging,200,19,5277,35268,http://svn.apache.org/repos/asf/commons/proper/logging/trunk,404,,,,,,,,,,,
cargo,serde,2.491134778,Not Participating,2022-10-25T06:16:23.580899,https://libraries.io/api/cargo/serde,200,27,22559,13599,https://github.com/serde-rs/serde,200,2022-10-25T06:16:24.271166,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/serde-rs/serde,200,,,,2022-10-25T09:50:30.885476,6.5,2022-10-25T06:16:35.252313,0.69685,11183
go,github.com/google/go-genproto,2.396681848,Not Participating,2022-10-25T06:16:35.452451,https://libraries.io/api/go/github.com%2Fgoogle%2Fgo-genproto,404,,,,,,,,,,,,,,,,
go,github.com/spf13/cobra,2.30615834,Not Participating,2022-10-24T19:41:48.498479,https://libraries.io/api/go/github.com%2Fspf13%2Fcobra,200,27,16952,10886,https://github.com/spF13/cobra,200,2022-10-24T19:41:49.202709,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/spF13/cobra,200,,,,2022-10-24T19:42:05.941165,7.6,2022-10-24T19:42:18.002488,0.73019,22386
cargo,serde_derive,2.294290894,Not Participating,2022-10-25T06:16:35.775419,https://libraries.io/api/cargo/serde_derive,200,27,6416,9361,https://github.com/serde-rs/serde,200,2022-10-25T06:16:24.271166,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/serde-rs/serde,200,,,,2022-10-25T09:50:30.885476,6.5,2022-10-25T06:16:35.252313,0.69685,11183
go,code.googlesource.com/google-api-go-client,2.292134826,Not Participating,2022-10-25T06:16:37.510484,https://libraries.io/api/go/code.googlesource.com%2Fgoogle-api-go-client,404,,,,,,,,,,,,,,,,
