platform,name,version,zscore_combined,openssf_badge_tiered_percentage,lio_timestamp,lio_url,lio_rc,lio_rank,lio_dependents_count,lio_dependent_repos_count,lio_repo_url,lio_repo_url_rc,cii_timestamp,cii_url,cii_rc,cii_created_at,cii_updated_at,cii_tiered_percentage,scorecard_v480_timestamp,scorecard_v480_score,criticality_timestamp,criticality_score,criticality_dependents_count
go,github.com/pkg/errors,v0.9.1,12.15755741,Not Participating,2022-10-24T19:40:59.051389,https://libraries.io/api/go/github.com%2Fpkg%2Ferrors,200,27,32706,14470,https://github.com/pkg/ErrorS,200,2022-10-24T19:40:59.731877,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/pkg/ErrorS,200,,,,2022-10-24T19:41:16.370784,5.2,2022-10-24T19:41:20.490556,0.4473,28608
maven,org.slf4j:slf4j-api,1.7.30,5.809303572,Not Participating,2022-10-24T19:31:19.562776,https://libraries.io/api/maven/org.slf4j:slf4j-api,200,27,26983,128362,https://github.com/qos-ch/slf4j,200,2022-10-24T19:31:20.295867,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/qos-ch/slf4j,200,,,,2022-10-24T19:31:35.378129,5.7,2022-10-24T19:31:39.294587,0.64469,5791
maven,javax.xml:jsr173,1,5.492443155,Not Participating,2022-10-24T20:14:05.637545,https://libraries.io/api/maven/javax.xml:jsr173,200,5,16,83,,,,,,,,,,,,,
maven,ch.qos.logback:logback-classic,1.2.3,5.281396147,Not Participating,2022-10-24T19:40:38.113536,https://libraries.io/api/maven/ch.qos.logback:logback-classic,200,26,13733,54680,https://github.com/qos-ch/logback,200,2022-10-24T19:40:38.733369,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/qos-ch/logback,200,,,,2022-10-24T19:40:53.362672,6.7,2022-10-24T19:40:57.503212,0.62288,859
maven,junit:junit,4.12,5.117978059,Not Participating,2022-10-24T19:35:09.834575,https://libraries.io/api/maven/junit:junit,200,30,54024,408330,https://github.com/junit-team/junit4,200,2022-10-24T19:35:10.560077,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/junit-team/junit4,200,,,,2022-10-24T19:35:28.222613,4.5,2022-10-24T19:35:32.331537,0.60247,21255
maven,com.fasterxml.jackson.core:jackson-databind,2.12.3,4.90027993,Not Participating,2022-10-24T19:31:51.877535,https://libraries.io/api/maven/com.fasterxml.jackson.core:jackson-databind,200,27,10108,77047,https://github.com/FasterXML/jackson-databind,200,2022-10-24T19:31:52.585238,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/FasterXML/jackson-databind,200,,,,2022-10-24T19:32:51.004764,7.8,2022-10-24T19:33:07.529780,0.73456,4367
maven,org.apiguardian:apiguardian-api,1.1.0,4.885018107,Not Participating,2022-10-24T21:26:24.294734,https://libraries.io/api/maven/org.apiguardian:apiguardian-api,200,18,188,279,https://github.com/apiguardian-team/apiguardian,200,2022-10-24T21:26:24.930353,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/apiguardian-team/apiguardian,200,,,,2022-10-25T09:53:53.081947,4.1,2022-10-24T21:26:29.108824,0.26975,54
maven,org.opentest4j:opentest4j,1.2.0,4.885018107,Not Participating,2022-10-24T21:10:01.225076,https://libraries.io/api/maven/org.opentest4j:opentest4j,200,18,68,49,https://github.com/ota4j-team/opentest4j,200,2022-10-24T21:10:01.888947,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/ota4j-team/opentest4j,200,,,,2022-10-24T21:10:10.574524,4.9,2022-10-24T21:10:15.930209,0.36864,48
go,github.com/davecgh/go-spew,v1.1.1,4.58399108,Not Participating,2022-10-24T20:08:29.398134,https://libraries.io/api/go/github.com%2Fdavecgh%2Fgo-spew,200,27,25967,17836,https://github.com/davecgh/go-spew,200,2022-10-24T20:08:30.193944,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/davecgh/go-spew,200,,,,2022-10-24T20:08:42.364062,4.9,2022-10-24T20:08:46.610922,0.38593,2794
maven,com.fasterxml.jackson.core:jackson-core,2.12.3,4.572692402,Not Participating,2022-10-24T19:33:27.247437,https://libraries.io/api/maven/com.fasterxml.jackson.core:jackson-core,200,26,5450,41831,https://github.com/FasterXML/jackson-core,200,2022-10-24T19:33:27.941687,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/FasterXML/jackson-core,200,,,,2022-10-24T19:33:45.084286,6.8,2022-10-24T19:34:01.559012,0.67001,11767
