appendix,platform,source_name,source_version,target_name,target_version,target_scope,vuln,alias,path_length,cvss_version,cvss_base_score,cvss_base_severity
B,maven,org.slf4j:slf4j-api,1.7.36,junit:junit,4.13,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,1,3.1,5.5,medium
B,maven,org.slf4j:slf4j-api,1.7.35,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,1,3.1,5.5,medium
B,maven,org.slf4j:slf4j-api,1.7.34,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,1,3.1,5.5,medium
B,maven,org.slf4j:slf4j-api,1.7.33,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,1,3.1,5.5,medium
B,maven,org.slf4j:slf4j-api,1.7.32,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,1,3.1,5.5,medium
B,maven,org.slf4j:slf4j-api,1.7.31,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,1,3.1,5.5,medium
B,maven,com.fasterxml.jackson.core:jackson-databind,2.12.7.1,com.fasterxml.jackson.core:jackson-databind,2.12.7.1,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.4,com.fasterxml.jackson.core:jackson-databind,2.13.4,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.12.7,com.fasterxml.jackson.core:jackson-databind,2.12.7,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.12.7,com.fasterxml.jackson.core:jackson-databind,2.12.7,,GHSA-rgv9-q543-rqg4,CVE-2022-42004,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.3,com.fasterxml.jackson.core:jackson-databind,2.13.3,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.3,com.fasterxml.jackson.core:jackson-databind,2.13.3,,GHSA-rgv9-q543-rqg4,CVE-2022-42004,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,,GHSA-rgv9-q543-rqg4,CVE-2022-42004,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.12.6.1,com.fasterxml.jackson.core:jackson-databind,2.12.6.1,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.12.6.1,com.fasterxml.jackson.core:jackson-databind,2.12.6.1,,GHSA-rgv9-q543-rqg4,CVE-2022-42004,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2.1,com.fasterxml.jackson.core:jackson-databind,2.13.2.1,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2.1,com.fasterxml.jackson.core:jackson-databind,2.13.2.1,,GHSA-rgv9-q543-rqg4,CVE-2022-42004,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2,com.fasterxml.jackson.core:jackson-databind,2.13.2,,GHSA-57j2-w4cx-62h2,CVE-2020-36518,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2,com.fasterxml.jackson.core:jackson-databind,2.13.2,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,0,3.1,7.5,high
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2,com.fasterxml.jackson.core:jackson-databind,2.13.2,,GHSA-rgv9-q543-rqg4,CVE-2022-42004,0,3.1,7.5,high
B,maven,commons-io:commons-io,2.8.0,com.google.guava:guava,18.0,test,GHSA-5mg8-w23w-74h3,CVE-2020-8908,2,3.1,3.3,low
B,maven,commons-io:commons-io,2.8.0,com.google.guava:guava,18.0,test,GHSA-mvr2-9pj6-7w5j,CVE-2018-10237,2,3.1,5.9,medium
B,maven,commons-io:commons-io,2.7,com.google.guava:guava,18.0,test,GHSA-5mg8-w23w-74h3,CVE-2020-8908,2,3.1,3.3,low
B,maven,commons-io:commons-io,2.7,com.google.guava:guava,18.0,test,GHSA-mvr2-9pj6-7w5j,CVE-2018-10237,2,3.1,5.9,medium
B,maven,commons-io:commons-io,2.6,commons-io:commons-io,2.6,,GHSA-gwrp-pvrq-jmwv,CVE-2021-29425,0,3.1,4.8,medium
B,maven,commons-io:commons-io,2.6,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,1,3.1,5.5,medium
B,maven,commons-io:commons-io,2.5,commons-io:commons-io,2.5,,GHSA-gwrp-pvrq-jmwv,CVE-2021-29425,0,3.1,4.8,medium
B,maven,commons-io:commons-io,2.5,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,1,3.1,5.5,medium
