appendix,platform,source_name,source_version,source_release_datetime,target_name,target_version,target_scope,vuln,alias,published,fixed_version,fixed_version_count,closest_fix,fix_distance,release_date,fixed_version_match,fixed_version_found
B,maven,org.slf4j:slf4j-api,1.7.36,2022-02-08T14:33:51,junit:junit,4.13,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,2020-10-12T18:15:13.233,junit:junit:4.13.1,1,junit:junit:4.13.1,2:1,2020-10-11 17:19:50,exact-match,
B,maven,org.slf4j:slf4j-api,1.7.35,2022-01-25T11:39:23,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,2020-10-12T18:15:13.233,junit:junit:4.13.1,1,junit:junit:4.13.1,1:1,2020-10-11 17:19:50,exact-match,
B,maven,org.slf4j:slf4j-api,1.7.34,2022-01-25T09:10:24,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,2020-10-12T18:15:13.233,junit:junit:4.13.1,1,junit:junit:4.13.1,1:1,2020-10-11 17:19:50,exact-match,
B,maven,org.slf4j:slf4j-api,1.7.33,2022-01-13T15:36:34,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,2020-10-12T18:15:13.233,junit:junit:4.13.1,1,junit:junit:4.13.1,1:1,2020-10-11 17:19:50,exact-match,
B,maven,org.slf4j:slf4j-api,1.7.32,2021-07-20T13:56:54,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,2020-10-12T18:15:13.233,junit:junit:4.13.1,1,junit:junit:4.13.1,1:1,2020-10-11 17:19:50,exact-match,
B,maven,org.slf4j:slf4j-api,1.7.31,2021-06-17T23:35:20,junit:junit,4.12,test,GHSA-269g-pwp5-87pp,CVE-2020-15250,2020-10-12T18:15:13.233,junit:junit:4.13.1,1,junit:junit:4.13.1,1:1,2020-10-11 17:19:50,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.12.7.1,2022-10-13T05:36:45,com.fasterxml.jackson.core:jackson-databind,2.12.7.1,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,2022-10-02T05:15:09.070,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1:1,2022-10-12 22:02:09,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.4,2022-09-04T00:18:26,com.fasterxml.jackson.core:jackson-databind,2.13.4,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,2022-10-02T05:15:09.070,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,3:1,2022-10-12 22:02:09,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.12.7,2022-05-26T19:45:48,com.fasterxml.jackson.core:jackson-databind,2.12.7,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,2022-10-02T05:15:09.070,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1:1,2022-10-12 22:02:09,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.12.7,2022-05-26T19:45:48,com.fasterxml.jackson.core:jackson-databind,2.12.7,,GHSA-rgv9-q543-rqg4,CVE-2022-42004,2022-10-02T05:15:09.237,com.fasterxml.jackson.core:jackson-databind:2.13.4,1,com.fasterxml.jackson.core:jackson-databind:2.13.4,1:1,2022-09-04 00:18:26,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.3,2022-05-14T16:56:42,com.fasterxml.jackson.core:jackson-databind,2.13.3,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,2022-10-02T05:15:09.070,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,2:1,2022-10-12 22:02:09,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.3,2022-05-14T16:56:42,com.fasterxml.jackson.core:jackson-databind,2.13.3,,GHSA-rgv9-q543-rqg4,CVE-2022-42004,2022-10-02T05:15:09.237,com.fasterxml.jackson.core:jackson-databind:2.13.4,1,com.fasterxml.jackson.core:jackson-databind:2.13.4,2:1,2022-09-04 00:18:26,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,2022-03-29T04:00:51,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,2022-10-02T05:15:09.070,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,2:2,2022-10-12 22:02:09,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,2022-03-29T04:00:51,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,,GHSA-rgv9-q543-rqg4,CVE-2022-42004,2022-10-02T05:15:09.237,com.fasterxml.jackson.core:jackson-databind:2.13.4,1,com.fasterxml.jackson.core:jackson-databind:2.13.4,2:2,2022-09-04 00:18:26,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.12.6.1,2022-03-27T04:31:02,com.fasterxml.jackson.core:jackson-databind,2.12.6.1,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,2022-10-02T05:15:09.070,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1:1,2022-10-12 22:02:09,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.12.6.1,2022-03-27T04:31:02,com.fasterxml.jackson.core:jackson-databind,2.12.6.1,,GHSA-rgv9-q543-rqg4,CVE-2022-42004,2022-10-02T05:15:09.237,com.fasterxml.jackson.core:jackson-databind:2.13.4,1,com.fasterxml.jackson.core:jackson-databind:2.13.4,1:1,2022-09-04 00:18:26,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2.1,2022-03-25T03:38:56,com.fasterxml.jackson.core:jackson-databind,2.13.2.1,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,2022-10-02T05:15:09.070,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,2:2,2022-10-12 22:02:09,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2.1,2022-03-25T03:38:56,com.fasterxml.jackson.core:jackson-databind,2.13.2.1,,GHSA-rgv9-q543-rqg4,CVE-2022-42004,2022-10-02T05:15:09.237,com.fasterxml.jackson.core:jackson-databind:2.13.4,1,com.fasterxml.jackson.core:jackson-databind:2.13.4,2:2,2022-09-04 00:18:26,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2,2022-03-06T20:41:19,com.fasterxml.jackson.core:jackson-databind,2.13.2,,GHSA-57j2-w4cx-62h2,CVE-2020-36518,2022-03-11T07:15:07.800,com.fasterxml.jackson.core:jackson-databind:2.13.2.1,2,com.fasterxml.jackson.core:jackson-databind:2.13.2.1,3:1,2022-03-25 03:38:56,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2,2022-03-06T20:41:19,com.fasterxml.jackson.core:jackson-databind,2.13.2,,GHSA-57j2-w4cx-62h2,CVE-2020-36518,2022-03-11T07:15:07.800,com.fasterxml.jackson.core:jackson-databind:2.12.6.1,2,com.fasterxml.jackson.core:jackson-databind:2.13.2.1,3:1,2022-03-27 04:31:02,exact-match,
B,maven,com.fasterxml.jackson.core:jackson-databind,2.13.2,2022-03-06T20:41:19,com.fasterxml.jackson.core:jackson-databind,2.13.2,,GHSA-jjjh-jjxp-wpff,CVE-2022-42003,2022-10-02T05:15:09.070,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1,com.fasterxml.jackson.core:jackson-databind:2.13.4.1,2:2,2022-10-12 22:02:09,exact-match,
