,platform,name,appendix,version,major_version,release_datetime,release_year,deps_count,dir_deps_count,trans_deps_count,max_depth,own_vulns_count,dep_vulns_hist_count_with_test,dep_vulns_hist_count_wo_test,dep_vulns_count_with_test,dep_vulns_count_wo_test,dep_vulns_low_with_test,dep_vulns_low_wo_test,dep_vulns_medium_with_test,dep_vulns_medium_wo_test,dep_vulns_high_with_test,dep_vulns_high_wo_test,dep_vulns_critical_with_test,dep_vulns_critical_wo_test,dep_vulns_unknown_with_test,dep_vulns_unknown_wo_test
0,maven,activation:activation,B,1.0.2,1,2005-12-21 16:36:57.000,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,maven,ant:ant,D,1.6.5,1,2010-10-15 14:48:25.000,2010,2.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
2,maven,antlr:antlr,B,2.7.7,2,2007-01-13 07:28:39.000,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,maven,aopalliance:aopalliance,B,1.0,1,2015-12-28 06:25:33.000,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,maven,asm:asm,D,3.3.1,3,2011-01-12 15:01:34.000,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,maven,asm:asm-analysis,D,3.3.1,3,2011-01-12 15:02:19.000,2011,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,maven,asm:asm-commons,D,3.3.1,3,2011-01-12 15:02:41.000,2011,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,maven,asm:asm-tree,D,3.3.1,3,2011-01-12 15:03:34.000,2011,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,maven,asm:asm-util,D,3.3.1,3,2011-01-12 15:03:49.000,2011,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,maven,asm:asm-xml,D,3.3.1,3,2011-01-12 15:04:13.000,2011,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,maven,avalon-framework:avalon-framework,D,4.1.5,4,2015-12-28 07:34:34.000,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,maven,ch.qos.logback:logback-access,B,1.4.4,1,2022-10-10 10:14:45.000,2022,37.0,14.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,maven,ch.qos.logback:logback-classic,B,1.4.4,1,2022-10-10 10:14:19.000,2022,31.0,19.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,maven,ch.qos.logback:logback-core,B,1.4.4,1,2022-10-10 10:13:40.000,2022,22.0,11.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,maven,clover:clover,D,1.3.12,1,2006-04-03 14:36:28.000,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,maven,cobertura:cobertura,D,1.8,1,2006-08-06 15:33:55.000,2006,3.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0
16,maven,com.alibaba:dubbo-remoting-netty,B,2.6.12,2,2021-12-29 12:18:13.000,2021,27.0,7.0,20.0,5.0,0.0,3.0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0
17,maven,com.amazonaws:aws-java-sdk,B,1.12.327,1,2022-10-24 22:56:00.000,2022,331.0,313.0,18.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
18,maven,com.amazonaws:aws-java-sdk-kms,B,1.12.327,1,2022-10-24 22:57:33.000,2022,33.0,3.0,30.0,4.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19,maven,com.amazonaws:aws-java-sdk-s3,B,1.12.327,1,2022-10-24 22:56:57.000,2022,34.0,4.0,30.0,4.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20,maven,com.beust:jcommander,D,1.82,1,2022-01-11 05:27:03.000,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,maven,com.esotericsoftware:minlog,B,1.3.1,1,2018-12-28 23:36:52.000,2018,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,maven,com.fasterxml.jackson.core:jackson-annotations,B,2.13.4,2,2022-09-03 23:56:29.000,2022,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,maven,com.fasterxml.jackson.core:jackson-core,B,2.13.4,2,2022-09-04 00:06:44.000,2022,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,maven,com.fasterxml.jackson.core:jackson-databind,B,2.13.4.2,2,2022-10-13 19:33:39.000,2022,16.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
